

*dataset:
*location: figure_8_a
*dscomment: One lepton and two b-jets channel: Expected 95% CL exclusion contour for chargino neutralino production via Wh.
*reackey: P P --> CHARGINO1 NEUTRALINO2 X
*obskey: UPPER LIMIT
*qual: . : GIVE COLUMN EXPLANATIONS, IF YOU USED OVERLAYS
*qual: RE : P P --> CHARGINO1 < W NEUTRALINO1 > NEUTRALINO2 < H NEUTRALINO1 > X
*qual: SQRT(S) IN GEV : 8000.0
*yheader: M(NEUTRALINO1) IN GEV
*xheader: M(CHARGINO1,NEUTRALINO2) IN GEV
*data: x : y
 247.3; 8.75;
 248.7; 6.25;
 248.8; 6.185;
 250.1; 3.75;
 251.2; 1.788;
 251.8; 1.25;
 251.8; -1.25;
 251.2; -1.25;
 248.8; -1.254;
 246.2; -1.255;
 243.8; -1.256;
 241.2; -1.257;
 238.8; -1.258;
 236.2; -1.259;
 233.8; -1.26;
 231.2; -1.261;
 228.8; -1.262;
 226.2; -1.263;
 223.8; -1.257;
 221.2; -1.255;
 218.8; -1.254;
 216.2; -1.253;
 213.8; -1.252;
 211.2; -1.25;
 210.7; -1.25;
 210.7; 1.25;
 211.2; 1.308;
 213.8; 1.555;
 216.2; 1.802;
 218.8; 2.051;
 221.2; 2.301;
 223.8; 3.562;
 224; 3.75;
 226.2; 5.903;
 226.6; 6.25;
 228.8; 8.246;
 229.3; 8.75;
 231.2; 10.59;
 232; 11.25;
 233.8; 13.57;
 233.9; 13.75;
 236.2; 15.42;
 238.8; 15.55;
 241.2; 15.25;
 243.4; 13.75;
 243.8; 13.38;
 245.9; 11.25;
 246.2; 10.58;
 247.3; 8.75;
 136.2; 5.711;
 137.6; 3.75;
 138.8; 2.162;
 139.4; 1.25;
 139.4; -1.25;
 138.8; -1.254;
 136.2; -1.269;
 133.8; -1.283;
 131.2; -1.297;
 128.8; -1.314;
 126.2; -1.314;
 126.2; -1.25;
 126.2; 1.25;
 126.2; 1.314;
 128.7; 3.75;
 128.8; 3.814;
 131.2; 6.25;
 131.2; 6.314;
 133.7; 8.75;
 133.8; 8.814;
 135.9; 8.75;
 136.2; 6.25;
 136.2; 5.711;
*dataend:


*dataset:
*location: figure_8_a
*dscomment: One lepton and two b-jets channel: Observed 95% CL exclusion contour for chargino neutralino production via Wh.
*reackey: P P --> CHARGINO1 NEUTRALINO2 X
*obskey: UPPER LIMIT
*qual: . : GIVE COLUMN EXPLANATIONS, IF YOU USED OVERLAYS
*qual: RE : P P --> CHARGINO1 < W NEUTRALINO1 > NEUTRALINO2 < H NEUTRALINO1 > X
*qual: SQRT(S) IN GEV : 8000.0
*yheader: M(NEUTRALINO1) IN GEV
*xheader: M(CHARGINO1,NEUTRALINO2) IN GEV
*data: x : y
 141.2; 7.943;
 142.1; 6.25;
 143.4; 3.75;
 143.8; 3.054;
 144.7; 1.25;
 144.7; -1.25;
 143.8; -1.257;
 141.2; -1.275;
 138.8; -1.292;
 136.2; -1.308;
 133.8; -1.323;
 131.2; -1.336;
 128.8; -1.315;
 126.2; -1.315;
 126.2; -1.25;
 126.2; 1.25;
 126.2; 1.315;
 128.7; 3.75;
 128.8; 3.815;
 131.2; 6.25;
 131.2; 6.315;
 133.7; 8.75;
 133.8; 8.815;
 136.2; 11.25;
 136.2; 11.31;
 138.8; 11.31;
 140.8; 11.25;
 140.8; 8.75;
 141.2; 7.943;
*dataend:
